temprature,humidity,pressure,gas_quality
21.7,41.4,102,184
39.6,35.3,101,182
49.5,25.9,102,181
52.6,21.5,102,180
55.2,18.5,102,179
56.4,17,102,178
58.2,15.7,102,177
58,14.9,102,176
54,15.2,102,175
52.5,14.9,102,174
53.8,14.2,102,173
55.2,13,102,173
51.8,15.3,101,172
58.2,12.9,102,172
62.8,11.3,102,171
61.2,11.1,102,172
54.9,12.1,102,169
52.1,13.1,102,169
49.5,15,102,168
53.7,14.5,102,167
55.5,13.9,102,167
55.7,13.6,102,165
54.8,13.5,102,165
53.5,13.6,102,164
53,13.6,102,163
52.2,13.6,102,162
45.9,15,102,162
42.2,16.5,102,161
40.3,17.5,102,161
38.9,18.4,102,160
37.7,19.2,102,159
36.7,19.9,102,159
35.8,20.4,102,160
35,21,102,158
34.4,21.6,102,158
33.8,22.1,102,157
33.2,22.6,102,157
32.7,23.1,102,156
32.3,23.5,102,155
31.9,23.9,102,155
31.5,24.3,102,155
31.2,24.7,102,156
30.8,25,102,154
30.6,25.4,102,153
30.3,25.7,102,153
30.1,26,102,153
29.9,26.2,102,154
29.7,26.5,102,152
29.5,26.8,102,153
29.3,27.5,102,154
29.1,27.7,102,155
29,27.8,102,166
28.8,28.5,102,167
28.6,29.3,102,165
28.4,29.6,102,163
28.3,29.8,102,167
28.1,30.1,102,165
28,30.4,102,164
27.9,30.6,102,163
27.8,30.8,102,163
27.7,31,102,160
27.5,30.9,102,158
27.4,30.9,102,154
27.3,30.8,102,155
27.2,30.8,102,153
27.1,30.7,102,151
27.1,30.7,102,151
27,30.7,102,150
26.9,30.9,102,149
26.8,31,102,149
26.7,31.1,102,148
26.6,31.3,102,148
26.5,31.4,102,147
26.4,31.5,102,148
26.3,31.7,102,148
26.2,31.8,102,147
26.1,32,102,146
26,32.1,102,146
26,32.2,102,147
25.9,32.3,102,148
25.8,32.5,102,149
25.6,33.1,102,147
25.4,44,102,146
25,57.2,102,147
24.7,64,102,146
24.5,67.2,102,146
24.3,69.4,102,146
24.1,71.2,102,145
23.9,72.9,102,146
23.8,74.5,102,146
23.7,75.8,102,145
23.5,77,102,145
23.6,78.4,102,145
23.6,79.3,102,145
23.5,80.1,102,145
23.5,80.8,101,146
23.4,81.5,102,145
23.4,82.1,101,144
23.3,82.7,102,144
23.2,83.2,102,144
23.2,83.6,102,145
23.2,84,102,144
23.2,84.3,102,144
23.1,84.8,102,144
23.1,85.2,102,143
23,85.6,102,144
22.8,85.9,102,145
22.8,86.4,102,145
22.9,86.8,102,145
22.9,87,102,144
22.9,87.2,102,145
22.9,87.3,102,143
22.8,87.4,102,143
22.8,87.5,102,142
22.8,87.7,102,142
22.8,87.7,102,141
22.8,87.7,102,140
22.7,87.7,102,139
22.7,87.7,102,142
22.7,87.8,102,140
22.7,87.7,102,140
22.8,88.2,102,140
22.8,88.1,102,140
22.8,88,102,139
22.9,88,102,141
22.9,87.8,102,139
22.9,87.6,102,139
22.9,87.3,102,138
23,86.9,102,138
23,86.3,102,138
23,85.5,102,138
23,84.3,102,137
23,82.9,102,139
23,81,102,137
23,78.3,102,136
23,75.4,102,136
23,72,102,136
23,68.7,102,136
23,65.3,102,136
23,62.6,102,137
23,60.1,102,135
23,57.9,102,135
23,56.1,102,135
23,54.4,102,137
23,53.1,102,135
23,51.9,102,135
23,50.9,102,134
23,50,102,134
23,49.2,102,134
23,48.5,102,134
23,47.9,102,134
23,47.4,102,134
23,46.9,102,133
23,46.5,102,134
23,46.1,102,135
23,45.7,102,133
23,45.4,102,134
23,45.1,102,134
23,44.8,102,134
23,44.5,102,133
23,44.3,102,134
23,44.1,102,133
23,43.9,102,133
22.9,43.7,102,133
22.9,43.5,102,133
22.9,43.4,102,133
22.9,43.2,102,132
22.9,43.1,102,133
22.9,43,102,133
22.9,42.9,102,133
22.9,42.7,102,132
22.9,42.6,102,133
22.9,42.5,102,132
22.9,42.5,102,132
22.8,42.3,102,132
22.8,42.3,102,131
22.8,42.2,102,132
22.8,42.1,102,132
22.8,42,102,132
22.8,42,102,131
22.8,41.9,102,131
22.8,41.9,102,131
22.7,41.9,102,131
22.7,41.9,102,131
22.7,41.9,102,131
22.7,41.9,102,131
22.7,41.9,102,131
22.7,41.9,102,131
22.7,41.8,102,131
22.7,41.8,102,131
22.7,41.8,102,131
22.7,41.8,102,130
22.7,41.8,102,131
22.7,41.8,102,131
22.7,41.8,102,131
22.7,41.7,102,130
22.7,41.7,102,130
22.6,41.6,102,130
22.6,41.5,102,131
22.6,41.5,102,130
22.6,41.4,102,130
